rank_approx,school_name,city,state,public_private,admissions_homepage_url,common_data_set_url,catalog_programs_url,deadlines_url,url_verification_status,rank_confidence
43,Texas A&M University,College Station,TX,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
45,"University of Maryland, College Park",College Park,MD,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
46,University of Georgia,Athens,GA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
47,Florida State University,Tallahassee,FL,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
47,Northeastern University,Boston,MA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
47,University of Miami,Coral Gables,FL,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
50,Pepperdine University,Malibu,CA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
50,University of Connecticut,Storrs,CT,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
52,"Penn State University, University Park",University Park,PA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
52,University of Massachusetts Amherst,Amherst,MA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
52,Virginia Tech,Blacksburg,VA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
55,"University of California, Santa Cruz",Santa Cruz,CA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
55,University of Pittsburgh,Pittsburgh,PA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
57,Case Western Reserve University,Cleveland,OH,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
57,Clemson University,Clemson,SC,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
57,Indiana University Bloomington,Bloomington,IN,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
57,Southern Methodist University,Dallas,TX,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
57,Syracuse University,Syracuse,NY,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
57,Worcester Polytechnic Institute,Worcester,MA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
63,Baylor University,Waco,TX,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
63,Elon University,Elon,NC,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
63,Fordham University,New York,NY,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
63,University of Delaware,Newark,DE,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
63,"University of Minnesota, Twin Cities",Minneapolis,MN,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
68,American University,Washington,DC,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
68,Colorado School of Mines,Golden,CO,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
68,Rensselaer Polytechnic Institute,Troy,NY,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
68,Stevens Institute of Technology,Hoboken,NJ,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
68,Texas Christian University,Fort Worth,TX,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
68,Villanova University,Villanova,PA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
74,George Washington University,Washington,DC,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
74,Michigan State University,East Lansing,MI,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
74,North Carolina State University,Raleigh,NC,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
74,University of Iowa,Iowa City,IA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
78,Auburn University,Auburn,AL,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
78,Brigham Young University,Provo,UT,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
78,Lehigh University,Bethlehem,PA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
78,Loyola Marymount University,Los Angeles,CA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
78,Marquette University,Milwaukee,WI,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
78,Rutgers University-Newark,Newark,NJ,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
78,Santa Clara University,Santa Clara,CA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
78,Seton Hall University,South Orange,NJ,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
78,University of Alabama,Tuscaloosa,AL,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
78,University of Denver,Denver,CO,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
78,University of San Diego,San Diego,CA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
89,Binghamton University (SUNY),Binghamton,NY,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
89,Colorado State University,Fort Collins,CO,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
89,Drexel University,Philadelphia,PA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
89,Florida International University,Miami,FL,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
89,Illinois Institute of Technology,Chicago,IL,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
89,Miami University,Oxford,OH,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
89,Ohio University,Athens,OH,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
89,Rutgers University-Camden,Camden,NJ,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
89,University at Buffalo (SUNY),Buffalo,NY,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
89,"University of California, Riverside",Riverside,CA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
89,University of Oregon,Eugene,OR,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
89,University of San Francisco,San Francisco,CA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
89,"University of Tennessee, Knoxville",Knoxville,TN,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
89,University of Vermont,Burlington,VT,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
103,Clark University,Worcester,MA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
103,DePaul University,Chicago,IL,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
103,Iowa State University,Ames,IA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
103,Louisiana State University,Baton Rouge,LA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
103,Saint Louis University,St. Louis,MO,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
103,Temple University,Philadelphia,PA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
103,University at Albany (SUNY),Albany,NY,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
103,University of Alabama at Birmingham,Birmingham,AL,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
103,University of Arizona,Tucson,AZ,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
103,University of Kansas,Lawrence,KS,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
103,University of Nebraska-Lincoln,Lincoln,NE,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
103,University of New Hampshire,Durham,NH,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
103,University of Utah,Salt Lake City,UT,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,Adelphi University,Garden City,NY,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,Arizona State University,Tempe,AZ,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,Baylor College,Waco,TX,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,Chapman University,Orange,CA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,Gonzaga University,Spokane,WA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,Hofstra University,Hempstead,NY,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,Howard University,Washington,DC,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,Kansas State University,Manhattan,KS,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,Mississippi State University,Starkville,MS,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,New Jersey Institute of Technology,Newark,NJ,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,Oklahoma State University,Stillwater,OK,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,Oregon State University,Corvallis,OR,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,Rowan University,Glassboro,NJ,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,St. John's University,Queens,NY,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,Stony Brook University (SUNY),Stony Brook,NY,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,Texas Tech University,Lubbock,TX,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,University of Central Florida,Orlando,FL,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,University of Cincinnati,Cincinnati,OH,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,University of Colorado Boulder,Boulder,CO,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,University of Dayton,Dayton,OH,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,University of Hawaii at Manoa,Honolulu,HI,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,University of Missouri,Columbia,MO,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,University of Oklahoma,Norman,OK,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,University of South Carolina,Columbia,SC,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,University of Tulsa,Tulsa,OK,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
